INFO 2025-04-28 11:40:52,267 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 11:40:52,528 download_revo_data Connection error: HTTPSConnectionPool(host='api.revo.com', port=443): Max retries exceeded with url: /data (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x737f26ab8750>: Failed to resolve 'api.revo.com' ([Errno -2] Name or service not known)"))
INFO 2025-04-28 11:58:00,079 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 11:58:00,079 download_revo_data Connection error: Connection error
INFO 2025-04-28 12:05:17,182 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:05:17,182 download_revo_data Connection error: Connection error
INFO 2025-04-28 12:05:17,184 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:05:17,184 download_revo_data HTTP error: HTTP error
INFO 2025-04-28 12:05:17,187 download_revo_data Starting download of Revo data url https://api.revo.com/data
INFO 2025-04-28 12:07:47,393 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:07:47,393 download_revo_data Connection error: Connection error
INFO 2025-04-28 12:07:47,395 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:07:47,396 download_revo_data HTTP error: HTTP error
INFO 2025-04-28 12:07:47,398 download_revo_data Starting download of Revo data url https://api.revo.com/data
INFO 2025-04-28 12:13:18,124 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:13:18,125 download_revo_data Connection error: Connection error
INFO 2025-04-28 12:13:18,127 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:13:18,128 download_revo_data HTTP error: HTTP error
INFO 2025-04-28 12:13:18,131 download_revo_data Starting download of Revo data url https://api.revo.com/data
INFO 2025-04-28 12:14:41,327 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:14:41,327 download_revo_data Connection error: Connection error
INFO 2025-04-28 12:14:41,330 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:14:41,330 download_revo_data HTTP error: HTTP error
INFO 2025-04-28 12:14:41,334 download_revo_data Starting download of Revo data url https://api.revo.com/data
INFO 2025-04-28 12:31:50,302 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:31:50,303 download_revo_data Connection error: Connection error
INFO 2025-04-28 12:31:50,305 download_revo_data Starting download of Revo data url https://api.revo.com/data
ERROR 2025-04-28 12:31:50,305 download_revo_data HTTP error: HTTP error
INFO 2025-04-28 12:31:50,307 download_revo_data Starting download of Revo data url https://api.revo.com/data
